description,roads,lighting,water,garbage,traffic,fire,drainage,rainwater,priority
the road near my house has multiple deep potholes causing accidents daily,1,0,0,0,0,0,0,0,High
potholes everywhere on the main highway stretch near sector 12,1,0,0,0,0,0,0,0,High
road surface is completely damaged after monsoon rains need immediate repair,1,0,0,0,0,0,0,0,High
broken road divider on national highway causing frequent accidents,1,0,0,0,0,0,0,0,High
the entire road has been dug up for pipeline work and left unrepaired for months,1,0,0,0,0,0,0,0,High
speed breakers are too high and unmarked causing vehicle damage,1,0,0,0,0,0,0,0,Medium
newly constructed road already showing cracks and deterioration,1,0,0,0,0,0,0,0,Medium
road shoulders are eroding making it dangerous for pedestrians,1,0,0,0,0,0,0,0,Medium
manhole cover missing on busy road people have fallen in,1,0,0,0,0,0,1,0,High
footpath tiles are broken and uneven causing tripping hazards,1,0,0,0,0,0,0,0,Medium
road near school zone has no proper markings or signs,1,0,0,0,1,0,0,0,High
bridge railing is damaged and poses safety risk,1,0,0,0,0,0,0,0,High
tar road melting in summer heat making surface sticky and dangerous,1,0,0,0,0,0,0,0,Medium
unpaved road becomes muddy swamp during rains blocking access,1,0,0,0,0,0,0,1,Medium
road construction debris left on highway creating hazard,1,0,0,0,0,0,0,0,Medium
large crack developing on the flyover near metro station,1,0,0,0,0,0,0,0,High
road near hospital has been in terrible condition for over a year,1,0,0,0,0,0,0,0,High
service road completely unusable due to broken surface,1,0,0,0,0,0,0,0,Medium
road markings have faded completely making lanes confusing,1,0,0,0,1,0,0,0,Medium
colony internal roads have never been tarred since construction,1,0,0,0,0,0,0,0,Medium
road subsidence near water pipeline repair area very dangerous,1,0,1,0,0,0,0,0,High
sharp stones protruding from damaged road surface causing tyre punctures,1,0,0,0,0,0,0,0,Medium
road near bus stop is flooded every time it rains,1,0,0,0,0,0,0,1,Medium
construction company damaged road and did not restore it properly,1,0,0,0,0,0,0,0,Medium
main arterial road has been patched poorly multiple times,1,0,0,0,0,0,0,0,Low
the approach road to our village is in deplorable condition,1,0,0,0,0,0,0,0,Medium
road widening project abandoned halfway leaving mess,1,0,0,0,0,0,0,0,Medium
residential street has massive crater sized pothole near entrance,1,0,0,0,0,0,0,0,High
pedestrian crossing not visible due to worn out paint on road,1,0,0,0,1,0,0,0,Medium
gravel road needs proper tarring has been pending for years,1,0,0,0,0,0,0,0,Low
streetlights in our colony have not been working for two weeks,0,1,0,0,0,0,0,0,Medium
entire stretch of main road is pitch dark at night very unsafe,0,1,0,0,0,0,0,0,High
bulbs in streetlight poles are fused and broken near market area,0,1,0,0,0,0,0,0,Medium
streetlight pole is leaning dangerously and may fall anytime,0,1,0,0,0,0,0,0,High
no streetlights installed in newly developed residential area,0,1,0,0,0,0,0,0,Medium
park lighting is completely gone children cannot play in evenings,0,1,0,0,0,0,0,0,Medium
streetlight burns during daytime wasting electricity,0,1,0,0,0,0,0,0,Low
exposed electrical wires from broken streetlight pole dangerous,0,1,0,0,0,0,0,0,High
